,Course,Course Number,Seats Remaining,Instructor,Semester,Waitlist Percent,Sem,Year,Risk Level
113,Algorithms,369,3 of 60 seats remain,"Brown, Linda",Fall 2022,5.0,Fall,2022,Very Risky
114,Database Systems,369,16 of 20 seats remain,"Davis, Elizabeth",Fall 2022,80.0,Fall,2022,Low Risk
115,Computer Architecture,372,29 of 70 seats remain,"Garcia, Maria",Fall 2022,41.42857142857143,Fall,2022,Medium risk
116,Intro to Programming,372,6 of 20 seats remain,"Rodriguez, Michael",Fall 2022,30.0,Fall,2022,Risky
117,Computer Networks,373,24 of 50 seats remain,"Brown, Linda",Fall 2022,48.0,Fall,2022,Medium risk
118,Computer Architecture,373,16 of 40 seats remain,"Miller, James",Fall 2022,40.0,Fall,2022,Risky
119,Software Engineering,375,32 of 70 seats remain,"Davis, Elizabeth",Fall 2022,45.714285714285715,Fall,2022,Medium risk
120,Computer Architecture,375,12 of 30 seats remain,"Johnson, Emily",Fall 2022,40.0,Fall,2022,Risky
121,Software Engineering,377,41 of 70 seats remain,"Jones, Robert",Fall 2022,58.57142857142858,Fall,2022,Medium risk
122,Algorithms,381,16 of 60 seats remain,"Garcia, Maria",Fall 2022,26.666666666666668,Fall,2022,Risky
123,Software Engineering,384,33 of 40 seats remain,"Smith, John",Fall 2022,82.5,Fall,2022,No Risk
124,Machine Learning,384,27 of 40 seats remain,"Rodriguez, Michael",Fall 2022,67.5,Fall,2022,Low Risk
125,Computer Networks,387,24 of 40 seats remain,"Martinez, Jessica",Fall 2022,60.0,Fall,2022,Medium risk
126,Machine Learning,388,10 of 40 seats remain,"Brown, Linda",Fall 2022,25.0,Fall,2022,Risky
127,Computer Architecture,388,27 of 50 seats remain,"Johnson, Emily",Fall 2022,54.0,Fall,2022,Medium risk
128,Artificial Intelligence,392,10 of 60 seats remain,"Garcia, Maria",Fall 2022,16.666666666666664,Fall,2022,Very Risky
129,Algorithms,394,22 of 30 seats remain,"Smith, John",Fall 2022,73.33333333333333,Fall,2022,Low Risk
130,Computer Networks,394,2 of 30 seats remain,"Rodriguez, Michael",Fall 2022,6.666666666666667,Fall,2022,Very Risky
131,Intro to Programming,397,43 of 50 seats remain,"Williams, David",Fall 2022,86.0,Fall,2022,No Risk
132,Computer Networks,397,20 of 50 seats remain,"Jones, Robert",Fall 2022,40.0,Fall,2022,Risky
133,Data Structures,398,5 of 20 seats remain,"Garcia, Maria",Fall 2022,25.0,Fall,2022,Risky
134,Software Engineering,400,30 of 50 seats remain,"Garcia, Maria",Fall 2022,60.0,Fall,2022,Medium risk
135,Computer Architecture,401,52 of 60 seats remain,"Garcia, Maria",Fall 2022,86.66666666666667,Fall,2022,No Risk
136,Algorithms,401,18 of 30 seats remain,"Jones, Robert",Fall 2022,60.0,Fall,2022,Medium risk
137,Computer Architecture,401,7 of 60 seats remain,"Garcia, Maria",Fall 2022,11.666666666666666,Fall,2022,Very Risky
138,Machine Learning,403,2 of 60 seats remain,"Garcia, Maria",Fall 2022,3.3333333333333335,Fall,2022,Very Risky
139,Operating Systems,409,51 of 60 seats remain,"Jones, Robert",Fall 2022,85.0,Fall,2022,No Risk
140,Software Engineering,410,52 of 70 seats remain,"Brown, Linda",Fall 2022,74.28571428571429,Fall,2022,Low Risk
141,Software Engineering,414,9 of 20 seats remain,"Garcia, Maria",Fall 2022,45.0,Fall,2022,Medium risk
142,Database Systems,418,37 of 50 seats remain,"Brown, Linda",Fall 2022,74.0,Fall,2022,Low Risk
143,Database Systems,419,32 of 40 seats remain,"Miller, James",Fall 2022,80.0,Fall,2022,Low Risk
144,Intro to Programming,420,22 of 30 seats remain,"Johnson, Emily",Fall 2022,73.33333333333333,Fall,2022,Low Risk
145,Operating Systems,424,25 of 40 seats remain,"Williams, David",Fall 2022,62.5,Fall,2022,Low Risk
146,Operating Systems,424,4 of 50 seats remain,"Rodriguez, Michael",Fall 2022,8.0,Fall,2022,Very Risky
147,Computer Architecture,425,6 of 60 seats remain,"Williams, David",Fall 2022,10.0,Fall,2022,Very Risky
148,Algorithms,430,3 of 20 seats remain,"Johnson, Emily",Fall 2022,15.0,Fall,2022,Very Risky
149,Database Systems,431,53 of 60 seats remain,"Martinez, Jessica",Fall 2022,88.33333333333333,Fall,2022,No Risk
150,Computer Architecture,432,18 of 30 seats remain,"Johnson, Emily",Fall 2022,60.0,Fall,2022,Medium risk
151,Machine Learning,435,22 of 50 seats remain,"Smith, John",Fall 2022,44.0,Fall,2022,Medium risk
152,Intro to Programming,436,4 of 30 seats remain,"Williams, David",Fall 2022,13.333333333333334,Fall,2022,Very Risky
153,Computer Architecture,439,0 of 30 seats remain,"Garcia, Maria",Fall 2022,0.0,Fall,2022,Very Risky
154,Intro to Programming,443,0 of 50 seats remain,"Brown, Linda",Fall 2022,0.0,Fall,2022,Very Risky
155,Software Engineering,445,49 of 70 seats remain,"Williams, David",Fall 2022,70.0,Fall,2022,Low Risk
156,Computer Architecture,445,1 of 20 seats remain,"Davis, Elizabeth",Fall 2022,5.0,Fall,2022,Very Risky
157,Database Systems,447,5 of 60 seats remain,"Johnson, Emily",Fall 2022,8.333333333333332,Fall,2022,Very Risky
158,Operating Systems,448,11 of 20 seats remain,"Johnson, Emily",Fall 2022,55.00000000000001,Fall,2022,Medium risk
159,Computer Networks,453,35 of 50 seats remain,"Martinez, Jessica",Fall 2022,70.0,Fall,2022,Low Risk
160,Computer Networks,457,1 of 40 seats remain,"Brown, Linda",Fall 2022,2.5,Fall,2022,Very Risky
161,Operating Systems,459,5 of 20 seats remain,"Smith, John",Fall 2022,25.0,Fall,2022,Risky
162,Database Systems,459,39 of 50 seats remain,"Jones, Robert",Fall 2022,78.0,Fall,2022,Low Risk
163,Machine Learning,459,6 of 20 seats remain,"Garcia, Maria",Fall 2022,30.0,Fall,2022,Risky
164,Database Systems,461,22 of 40 seats remain,"Jones, Robert",Fall 2022,55.00000000000001,Fall,2022,Medium risk
165,Database Systems,462,6 of 40 seats remain,"Smith, John",Fall 2022,15.0,Fall,2022,Very Risky
166,Computer Architecture,465,18 of 50 seats remain,"Garcia, Maria",Fall 2022,36.0,Fall,2022,Risky
167,Machine Learning,465,18 of 20 seats remain,"Williams, David",Fall 2022,90.0,Fall,2022,No Risk
168,Algorithms,467,5 of 40 seats remain,"Rodriguez, Michael",Fall 2022,12.5,Fall,2022,Very Risky
169,Data Structures,469,41 of 70 seats remain,"Miller, James",Fall 2022,58.57142857142858,Fall,2022,Medium risk
170,Software Engineering,470,12 of 20 seats remain,"Jones, Robert",Fall 2022,60.0,Fall,2022,Medium risk
171,Data Structures,471,20 of 30 seats remain,"Davis, Elizabeth",Fall 2022,66.66666666666666,Fall,2022,Low Risk
172,Artificial Intelligence,476,5 of 60 seats remain,"Jones, Robert",Fall 2022,8.333333333333332,Fall,2022,Very Risky
173,Algorithms,479,14 of 30 seats remain,"Rodriguez, Michael",Fall 2022,46.666666666666664,Fall,2022,Medium risk
174,Computer Architecture,480,11 of 40 seats remain,"Rodriguez, Michael",Fall 2022,27.500000000000004,Fall,2022,Risky
175,Computer Architecture,481,42 of 50 seats remain,"Rodriguez, Michael",Fall 2022,84.0,Fall,2022,No Risk
176,Data Structures,488,19 of 70 seats remain,"Rodriguez, Michael",Fall 2022,27.142857142857142,Fall,2022,Risky
177,Database Systems,488,9 of 40 seats remain,"Brown, Linda",Fall 2022,22.5,Fall,2022,Risky
178,Software Engineering,489,17 of 20 seats remain,"Davis, Elizabeth",Fall 2022,85.0,Fall,2022,No Risk
179,Database Systems,493,55 of 70 seats remain,"Miller, James",Fall 2022,78.57142857142857,Fall,2022,Low Risk
180,Software Engineering,494,13 of 30 seats remain,"Jones, Robert",Fall 2022,43.333333333333336,Fall,2022,Medium risk
181,Data Structures,500,38 of 60 seats remain,"Johnson, Emily",Fall 2022,63.33333333333333,Fall,2022,Low Risk
182,Database Systems,502,8 of 40 seats remain,"Garcia, Maria",Fall 2022,20.0,Fall,2022,Very Risky
183,Software Engineering,502,30 of 50 seats remain,"Garcia, Maria",Fall 2022,60.0,Fall,2022,Medium risk
184,Artificial Intelligence,507,26 of 40 seats remain,"Smith, John",Fall 2022,65.0,Fall,2022,Low Risk
185,Data Structures,507,35 of 50 seats remain,"Martinez, Jessica",Fall 2022,70.0,Fall,2022,Low Risk
186,Computer Architecture,509,19 of 30 seats remain,"Miller, James",Fall 2022,63.33333333333333,Fall,2022,Low Risk
187,Machine Learning,513,30 of 70 seats remain,"Miller, James",Fall 2022,42.857142857142854,Fall,2022,Medium risk
188,Algorithms,515,21 of 40 seats remain,"Garcia, Maria",Fall 2022,52.5,Fall,2022,Medium risk
189,Operating Systems,518,10 of 50 seats remain,"Martinez, Jessica",Fall 2022,20.0,Fall,2022,Very Risky
190,Computer Networks,522,18 of 20 seats remain,"Rodriguez, Michael",Fall 2022,90.0,Fall,2022,No Risk
191,Artificial Intelligence,525,27 of 60 seats remain,"Rodriguez, Michael",Fall 2022,45.0,Fall,2022,Medium risk
192,Artificial Intelligence,527,29 of 60 seats remain,"Martinez, Jessica",Fall 2022,48.333333333333336,Fall,2022,Medium risk
193,Software Engineering,529,28 of 50 seats remain,"Williams, David",Fall 2022,56.00000000000001,Fall,2022,Medium risk
194,Operating Systems,530,26 of 40 seats remain,"Smith, John",Fall 2022,65.0,Fall,2022,Low Risk
195,Intro to Programming,531,8 of 40 seats remain,"Williams, David",Fall 2022,20.0,Fall,2022,Very Risky
196,Data Structures,532,53 of 60 seats remain,"Garcia, Maria",Fall 2022,88.33333333333333,Fall,2022,No Risk
197,Artificial Intelligence,532,18 of 30 seats remain,"Johnson, Emily",Fall 2022,60.0,Fall,2022,Medium risk
198,Computer Networks,534,42 of 50 seats remain,"Smith, John",Fall 2022,84.0,Fall,2022,No Risk
199,Database Systems,540,2 of 40 seats remain,"Martinez, Jessica",Fall 2022,5.0,Fall,2022,Very Risky
200,Software Engineering,540,15 of 20 seats remain,"Garcia, Maria",Fall 2022,75.0,Fall,2022,Low Risk
201,Data Structures,540,7 of 30 seats remain,"Miller, James",Fall 2022,23.333333333333332,Fall,2022,Risky
202,Intro to Programming,540,26 of 50 seats remain,"Garcia, Maria",Fall 2022,52.0,Fall,2022,Medium risk
203,Data Structures,541,11 of 20 seats remain,"Jones, Robert",Fall 2022,55.00000000000001,Fall,2022,Medium risk
204,Software Engineering,541,51 of 70 seats remain,"Williams, David",Fall 2022,72.85714285714285,Fall,2022,Low Risk
205,Operating Systems,542,24 of 50 seats remain,"Martinez, Jessica",Fall 2022,48.0,Fall,2022,Medium risk
206,Operating Systems,542,54 of 70 seats remain,"Garcia, Maria",Fall 2022,77.14285714285715,Fall,2022,Low Risk
207,Machine Learning,545,0 of 20 seats remain,"Williams, David",Fall 2022,0.0,Fall,2022,Very Risky
208,Database Systems,546,2 of 20 seats remain,"Miller, James",Fall 2022,10.0,Fall,2022,Very Risky
209,Data Structures,551,17 of 20 seats remain,"Martinez, Jessica",Fall 2022,85.0,Fall,2022,No Risk
210,Artificial Intelligence,553,2 of 30 seats remain,"Garcia, Maria",Fall 2022,6.666666666666667,Fall,2022,Very Risky
211,Computer Networks,559,16 of 20 seats remain,"Garcia, Maria",Fall 2022,80.0,Fall,2022,Low Risk
212,Operating Systems,561,16 of 50 seats remain,"Rodriguez, Michael",Fall 2022,32.0,Fall,2022,Risky
213,Algorithms,564,52 of 60 seats remain,"Williams, David",Fall 2022,86.66666666666667,Fall,2022,No Risk
214,Machine Learning,565,6 of 40 seats remain,"Rodriguez, Michael",Fall 2022,15.0,Fall,2022,Very Risky
215,Software Engineering,566,14 of 20 seats remain,"Miller, James",Fall 2022,70.0,Fall,2022,Low Risk
216,Intro to Programming,567,51 of 70 seats remain,"Williams, David",Fall 2022,72.85714285714285,Fall,2022,Low Risk
217,Machine Learning,569,5 of 70 seats remain,"Garcia, Maria",Fall 2022,7.142857142857142,Fall,2022,Very Risky
218,Computer Architecture,569,28 of 60 seats remain,"Jones, Robert",Fall 2022,46.666666666666664,Fall,2022,Medium risk
219,Data Structures,571,31 of 40 seats remain,"Williams, David",Fall 2022,77.5,Fall,2022,Low Risk
220,Machine Learning,572,8 of 30 seats remain,"Williams, David",Fall 2022,26.666666666666668,Fall,2022,Risky
221,Computer Architecture,573,36 of 40 seats remain,"Martinez, Jessica",Fall 2022,90.0,Fall,2022,No Risk
222,Algorithms,574,4 of 20 seats remain,"Davis, Elizabeth",Fall 2022,20.0,Fall,2022,Very Risky
223,Computer Architecture,574,17 of 60 seats remain,"Davis, Elizabeth",Fall 2022,28.333333333333332,Fall,2022,Risky
224,Machine Learning,579,43 of 50 seats remain,"Jones, Robert",Fall 2022,86.0,Fall,2022,No Risk
225,Machine Learning,580,3 of 20 seats remain,"Martinez, Jessica",Fall 2022,15.0,Fall,2022,Very Risky
226,Theory/Application Data Mining,584,9 of 70 seats remain,"Zhou, Keren",Fall 2022,12.857142857142856,Fall,2022,Very Risky
227,Theory/Application Data Mining,584,48 of 70 seats remain,"Barbara, Daniel",Fall 2022,68.57142857142857,Fall,2022,Low Risk
228,Introduction to Cryptography,587,11 of 20 seats remain,"Ateniese, Giuseppe",Fall 2022,55.00000000000001,Fall,2022,Medium risk
229,Quantum Algorithms,595,0 of 2 seats remain,"Baume, Michael",Fall 2022,0.0,Fall,2022,Very Risky
230,AI Design and Deployment Risks,595,8 of 15 seats remain,"Cummings, Missy",Fall 2022,53.333333333333336,Fall,2022,Medium risk
231,AI Design and Deployment Risks,595,11 of 15 seats remain,"Cummings, Missy",Fall 2022,73.33333333333333,Fall,2022,Low Risk
232,Theory of Computation,600,43 of 60 seats remain,"Richards, Dana",Fall 2022,71.66666666666667,Fall,2022,Low Risk
233,Theory of Computation,600,32 of 50 seats remain,"Richards, Dana",Fall 2022,64.0,Fall,2022,Low Risk
234,Advanced Algorithms,630,12 of 50 seats remain,"Yaroslavtsev, Grigory",Fall 2022,24.0,Fall,2022,Risky
235,Wireless and Mobile Computing,655,7 of 50 seats remain,"Yao, Shuochao",Fall 2022,14.000000000000002,Fall,2022,Very Risky
236,Computational Design,663,30 of 65 seats remain,"Yu, Lap Fai",Fall 2022,46.15384615384615,Fall,2022,Medium risk
237,Advanced NLP,678,8 of 65 seats remain,"Yao, Ziyu",Fall 2022,12.307692307692308,Fall,2022,Very Risky
238,Computer Vision,682,20 of 53 seats remain,"Kosecka, Jana",Fall 2022,37.735849056603776,Fall,2022,Risky
239,Machine Learning,688,19 of 50 seats remain,"Yu, Fang-Yi",Fall 2022,38.0,Fall,2022,Risky
240,Machine Learning,688,18 of 50 seats remain,"Das, Sanmay",Fall 2022,36.0,Fall,2022,Risky
241,Network Security,692,3 of 10 seats remain,"Wang, Xinyuan",Fall 2022,30.0,Fall,2022,Risky
242,Linux Kernel Internals,692,24 of 40 seats remain,"Zhang, Xiaokuan",Fall 2022,60.0,Fall,2022,Medium risk
243,SWE Real-Time Embedded Systm,692,7 of 35 seats remain,"Pettit, Rob",Fall 2022,20.0,Fall,2022,Very Risky
