Course,Course Number,Seats Remaining,Instructor,Semester,Waitlist Percent,Sem,Year,Risk Level
Software Engineering,227,21 of 60 seats remain,"Johnson, Emily",Fall 2022,35,Fall,2022,Risky
Intro to Programming,228,21 of 30 seats remain,"Garcia, Maria",Fall 2022,70,Fall,2022,Low Risk
Data Structures,236,12 of 50 seats remain,"Smith, John",Fall 2022,24,Fall,2022,Risky
Artificial Intelligence,236,12 of 50 seats remain,"Brown, Linda",Fall 2022,24,Fall,2022,Risky
Machine Learning,237,10 of 20 seats remain,"Davis, Elizabeth",Fall 2022,50,Fall,2022,Medium risk
Computer Architecture,243,42 of 70 seats remain,"Johnson, Emily",Fall 2022,60,Fall,2022,Medium risk
Computer Networks,250,4 of 20 seats remain,"Miller, James",Fall 2022,20,Fall,2022,Very Risky
Machine Learning,251,14 of 20 seats remain,"Johnson, Emily",Fall 2022,70,Fall,2022,Low Risk
Operating Systems,252,24 of 30 seats remain,"Miller, James",Fall 2022,80,Fall,2022,Low Risk
Machine Learning,252,4 of 50 seats remain,"Garcia, Maria",Fall 2022,8,Fall,2022,Very Risky
Algorithms,252,16 of 40 seats remain,"Davis, Elizabeth",Fall 2022,40,Fall,2022,Risky
Data Structures,253,36 of 50 seats remain,"Miller, James",Fall 2022,72,Fall,2022,Low Risk
Machine Learning,259,7 of 50 seats remain,"Jones, Robert",Fall 2022,14,Fall,2022,Very Risky
Computer Networks,260,5 of 20 seats remain,"Brown, Linda",Fall 2022,25,Fall,2022,Risky
Artificial Intelligence,263,29 of 60 seats remain,"Martinez, Jessica",Fall 2022,48.33333333,Fall,2022,Medium risk
Software Engineering,273,13 of 70 seats remain,"Miller, James",Fall 2022,18.57142857,Fall,2022,Very Risky
Software Engineering,278,11 of 30 seats remain,"Rodriguez, Michael",Fall 2022,36.66666667,Fall,2022,Risky
Computer Networks,278,18 of 70 seats remain,"Garcia, Maria",Fall 2022,25.71428571,Fall,2022,Risky
Artificial Intelligence,279,26 of 40 seats remain,"Brown, Linda",Fall 2022,65,Fall,2022,Low Risk
Artificial Intelligence,279,12 of 30 seats remain,"Miller, James",Fall 2022,40,Fall,2022,Risky
Database Systems,281,43 of 60 seats remain,"Jones, Robert",Fall 2022,71.66666667,Fall,2022,Low Risk
Computer Networks,281,15 of 20 seats remain,"Davis, Elizabeth",Fall 2022,75,Fall,2022,Low Risk
Data Structures,283,16 of 60 seats remain,"Johnson, Emily",Fall 2022,26.66666667,Fall,2022,Risky
Intro to Programming,285,0 of 40 seats remain,"Martinez, Jessica",Fall 2022,0,Fall,2022,Very Risky
Algorithms,287,5 of 30 seats remain,"Smith, John",Fall 2022,16.66666667,Fall,2022,Very Risky
Software Engineering,291,16 of 30 seats remain,"Miller, James",Fall 2022,53.33333333,Fall,2022,Medium risk
Algorithms,292,24 of 50 seats remain,"Smith, John",Fall 2022,48,Fall,2022,Medium risk
Computer Networks,293,58 of 70 seats remain,"Brown, Linda",Fall 2022,82.85714286,Fall,2022,No Risk
Computer Networks,294,6 of 60 seats remain,"Jones, Robert",Fall 2022,10,Fall,2022,Very Risky
Software Engineering,295,11 of 50 seats remain,"Brown, Linda",Fall 2022,22,Fall,2022,Risky
Data Structures,298,8 of 30 seats remain,"Davis, Elizabeth",Fall 2022,26.66666667,Fall,2022,Risky
Computer Networks,300,25 of 70 seats remain,"Martinez, Jessica",Fall 2022,35.71428571,Fall,2022,Risky
Computer Architecture,300,21 of 70 seats remain,"Martinez, Jessica",Fall 2022,30,Fall,2022,Risky
Data Structures,304,42 of 70 seats remain,"Williams, David",Fall 2022,60,Fall,2022,Medium risk
Database Systems,309,16 of 20 seats remain,"Davis, Elizabeth",Fall 2022,80,Fall,2022,Low Risk
Intro to Programming,315,38 of 60 seats remain,"Miller, James",Fall 2022,63.33333333,Fall,2022,Low Risk
Algorithms,315,4 of 20 seats remain,"Miller, James",Fall 2022,20,Fall,2022,Very Risky
Data Structures,315,9 of 70 seats remain,"Williams, David",Fall 2022,12.85714286,Fall,2022,Very Risky
Intro to Programming,318,36 of 40 seats remain,"Miller, James",Fall 2022,90,Fall,2022,No Risk
Algorithms,322,5 of 30 seats remain,"Garcia, Maria",Fall 2022,16.66666667,Fall,2022,Very Risky
Operating Systems,323,23 of 30 seats remain,"Garcia, Maria",Fall 2022,76.66666667,Fall,2022,Low Risk
Data Structures,323,20 of 50 seats remain,"Martinez, Jessica",Fall 2022,40,Fall,2022,Risky
Data Structures,324,35 of 50 seats remain,"Rodriguez, Michael",Fall 2022,70,Fall,2022,Low Risk
Machine Learning,327,28 of 40 seats remain,"Martinez, Jessica",Fall 2022,70,Fall,2022,Low Risk
Data Structures,332,41 of 50 seats remain,"Smith, John",Fall 2022,82,Fall,2022,No Risk
Database Systems,333,55 of 70 seats remain,"Miller, James",Fall 2022,78.57142857,Fall,2022,Low Risk
Artificial Intelligence,336,6 of 50 seats remain,"Smith, John",Fall 2022,12,Fall,2022,Very Risky
Data Structures,341,11 of 20 seats remain,"Williams, David",Fall 2022,55,Fall,2022,Medium risk
Database Systems,344,15 of 30 seats remain,"Jones, Robert",Fall 2022,50,Fall,2022,Medium risk
Operating Systems,344,32 of 70 seats remain,"Miller, James",Fall 2022,45.71428571,Fall,2022,Medium risk
Artificial Intelligence,345,27 of 40 seats remain,"Jones, Robert",Fall 2022,67.5,Fall,2022,Low Risk
Data Structures,354,5 of 60 seats remain,"Davis, Elizabeth",Fall 2022,8.333333333,Fall,2022,Very Risky
Operating Systems,355,4 of 20 seats remain,"Brown, Linda",Fall 2022,20,Fall,2022,Very Risky
Algorithms,356,30 of 60 seats remain,"Garcia, Maria",Fall 2022,50,Fall,2022,Medium risk
Artificial Intelligence,358,5 of 60 seats remain,"Williams, David",Fall 2022,8.333333333,Fall,2022,Very Risky
Computer Architecture,359,46 of 60 seats remain,"Smith, John",Fall 2022,76.66666667,Fall,2022,Low Risk
Software Engineering,360,18 of 50 seats remain,"Brown, Linda",Fall 2022,36,Fall,2022,Risky
Computer Networks,362,37 of 60 seats remain,"Johnson, Emily",Fall 2022,61.66666667,Fall,2022,Low Risk
Intro to Programming,365,10 of 20 seats remain,"Jones, Robert",Fall 2022,50,Fall,2022,Medium risk
Algorithms,369,3 of 60 seats remain,"Brown, Linda",Fall 2022,5,Fall,2022,Very Risky
Database Systems,369,16 of 20 seats remain,"Davis, Elizabeth",Fall 2022,80,Fall,2022,Low Risk
Computer Architecture,372,29 of 70 seats remain,"Garcia, Maria",Fall 2022,41.42857143,Fall,2022,Medium risk
Intro to Programming,372,6 of 20 seats remain,"Rodriguez, Michael",Fall 2022,30,Fall,2022,Risky
Computer Networks,373,24 of 50 seats remain,"Brown, Linda",Fall 2022,48,Fall,2022,Medium risk
Computer Architecture,373,16 of 40 seats remain,"Miller, James",Fall 2022,40,Fall,2022,Risky
Software Engineering,375,32 of 70 seats remain,"Davis, Elizabeth",Fall 2022,45.71428571,Fall,2022,Medium risk
Computer Architecture,375,12 of 30 seats remain,"Johnson, Emily",Fall 2022,40,Fall,2022,Risky
Software Engineering,377,41 of 70 seats remain,"Jones, Robert",Fall 2022,58.57142857,Fall,2022,Medium risk
Algorithms,381,16 of 60 seats remain,"Garcia, Maria",Fall 2022,26.66666667,Fall,2022,Risky
Software Engineering,384,33 of 40 seats remain,"Smith, John",Fall 2022,82.5,Fall,2022,No Risk
Machine Learning,384,27 of 40 seats remain,"Rodriguez, Michael",Fall 2022,67.5,Fall,2022,Low Risk
Computer Networks,387,24 of 40 seats remain,"Martinez, Jessica",Fall 2022,60,Fall,2022,Medium risk
Machine Learning,388,10 of 40 seats remain,"Brown, Linda",Fall 2022,25,Fall,2022,Risky
Computer Architecture,388,27 of 50 seats remain,"Johnson, Emily",Fall 2022,54,Fall,2022,Medium risk
Artificial Intelligence,392,10 of 60 seats remain,"Garcia, Maria",Fall 2022,16.66666667,Fall,2022,Very Risky
Algorithms,394,22 of 30 seats remain,"Smith, John",Fall 2022,73.33333333,Fall,2022,Low Risk
Computer Networks,394,2 of 30 seats remain,"Rodriguez, Michael",Fall 2022,6.666666667,Fall,2022,Very Risky
Intro to Programming,397,43 of 50 seats remain,"Williams, David",Fall 2022,86,Fall,2022,No Risk
Computer Networks,397,20 of 50 seats remain,"Jones, Robert",Fall 2022,40,Fall,2022,Risky
Data Structures,398,5 of 20 seats remain,"Garcia, Maria",Fall 2022,25,Fall,2022,Risky
Software Engineering,400,30 of 50 seats remain,"Garcia, Maria",Fall 2022,60,Fall,2022,Medium risk
Computer Architecture,401,52 of 60 seats remain,"Garcia, Maria",Fall 2022,86.66666667,Fall,2022,No Risk
Algorithms,401,18 of 30 seats remain,"Jones, Robert",Fall 2022,60,Fall,2022,Medium risk
Computer Architecture,401,7 of 60 seats remain,"Garcia, Maria",Fall 2022,11.66666667,Fall,2022,Very Risky
Machine Learning,403,2 of 60 seats remain,"Garcia, Maria",Fall 2022,3.333333333,Fall,2022,Very Risky
Operating Systems,409,51 of 60 seats remain,"Jones, Robert",Fall 2022,85,Fall,2022,No Risk
Software Engineering,410,52 of 70 seats remain,"Brown, Linda",Fall 2022,74.28571429,Fall,2022,Low Risk
Software Engineering,414,9 of 20 seats remain,"Garcia, Maria",Fall 2022,45,Fall,2022,Medium risk
Database Systems,418,37 of 50 seats remain,"Brown, Linda",Fall 2022,74,Fall,2022,Low Risk
Database Systems,419,32 of 40 seats remain,"Miller, James",Fall 2022,80,Fall,2022,Low Risk
Intro to Programming,420,22 of 30 seats remain,"Johnson, Emily",Fall 2022,73.33333333,Fall,2022,Low Risk
Operating Systems,424,25 of 40 seats remain,"Williams, David",Fall 2022,62.5,Fall,2022,Low Risk
Operating Systems,424,4 of 50 seats remain,"Rodriguez, Michael",Fall 2022,8,Fall,2022,Very Risky
Computer Architecture,425,6 of 60 seats remain,"Williams, David",Fall 2022,10,Fall,2022,Very Risky
Algorithms,430,3 of 20 seats remain,"Johnson, Emily",Fall 2022,15,Fall,2022,Very Risky
Database Systems,431,53 of 60 seats remain,"Martinez, Jessica",Fall 2022,88.33333333,Fall,2022,No Risk
Computer Architecture,432,18 of 30 seats remain,"Johnson, Emily",Fall 2022,60,Fall,2022,Medium risk
Machine Learning,435,22 of 50 seats remain,"Smith, John",Fall 2022,44,Fall,2022,Medium risk
Intro to Programming,436,4 of 30 seats remain,"Williams, David",Fall 2022,13.33333333,Fall,2022,Very Risky
Computer Architecture,439,FULL: 0 of 30 seats remain,"Garcia, Maria",Fall 2022,0,Fall,2022,Very Risky
Intro to Programming,443,FULL: 0 of 50 seats remain,"Brown, Linda",Fall 2022,0,Fall,2022,Very Risky
Software Engineering,445,49 of 70 seats remain,"Williams, David",Fall 2022,70,Fall,2022,Low Risk
Computer Architecture,445,1 of 20 seats remain,"Davis, Elizabeth",Fall 2022,5,Fall,2022,Very Risky
Database Systems,447,5 of 60 seats remain,"Johnson, Emily",Fall 2022,8.333333333,Fall,2022,Very Risky
Operating Systems,448,11 of 20 seats remain,"Johnson, Emily",Fall 2022,55,Fall,2022,Medium risk
Computer Networks,453,35 of 50 seats remain,"Martinez, Jessica",Fall 2022,70,Fall,2022,Low Risk
Computer Networks,457,1 of 40 seats remain,"Brown, Linda",Fall 2022,2.5,Fall,2022,Very Risky
Operating Systems,459,5 of 20 seats remain,"Smith, John",Fall 2022,25,Fall,2022,Risky
Database Systems,459,39 of 50 seats remain,"Jones, Robert",Fall 2022,78,Fall,2022,Low Risk
Machine Learning,459,6 of 20 seats remain,"Garcia, Maria",Fall 2022,30,Fall,2022,Risky
Database Systems,461,22 of 40 seats remain,"Jones, Robert",Fall 2022,55,Fall,2022,Medium risk
Database Systems,462,6 of 40 seats remain,"Smith, John",Fall 2022,15,Fall,2022,Very Risky
Computer Architecture,465,18 of 50 seats remain,"Garcia, Maria",Fall 2022,36,Fall,2022,Risky
Machine Learning,465,18 of 20 seats remain,"Williams, David",Fall 2022,90,Fall,2022,No Risk
Algorithms,467,5 of 40 seats remain,"Rodriguez, Michael",Fall 2022,12.5,Fall,2022,Very Risky
Data Structures,469,41 of 70 seats remain,"Miller, James",Fall 2022,58.57142857,Fall,2022,Medium risk
Software Engineering,470,12 of 20 seats remain,"Jones, Robert",Fall 2022,60,Fall,2022,Medium risk
Data Structures,471,20 of 30 seats remain,"Davis, Elizabeth",Fall 2022,66.66666667,Fall,2022,Low Risk
Artificial Intelligence,476,5 of 60 seats remain,"Jones, Robert",Fall 2022,8.333333333,Fall,2022,Very Risky
Algorithms,479,14 of 30 seats remain,"Rodriguez, Michael",Fall 2022,46.66666667,Fall,2022,Medium risk
Computer Architecture,480,11 of 40 seats remain,"Rodriguez, Michael",Fall 2022,27.5,Fall,2022,Risky
Computer Architecture,481,42 of 50 seats remain,"Rodriguez, Michael",Fall 2022,84,Fall,2022,No Risk
Data Structures,488,19 of 70 seats remain,"Rodriguez, Michael",Fall 2022,27.14285714,Fall,2022,Risky
Database Systems,488,9 of 40 seats remain,"Brown, Linda",Fall 2022,22.5,Fall,2022,Risky
Software Engineering,489,17 of 20 seats remain,"Davis, Elizabeth",Fall 2022,85,Fall,2022,No Risk
Database Systems,493,55 of 70 seats remain,"Miller, James",Fall 2022,78.57142857,Fall,2022,Low Risk
Software Engineering,494,13 of 30 seats remain,"Jones, Robert",Fall 2022,43.33333333,Fall,2022,Medium risk
Data Structures,500,38 of 60 seats remain,"Johnson, Emily",Fall 2022,63.33333333,Fall,2022,Low Risk
Database Systems,502,8 of 40 seats remain,"Garcia, Maria",Fall 2022,20,Fall,2022,Very Risky
Software Engineering,502,30 of 50 seats remain,"Garcia, Maria",Fall 2022,60,Fall,2022,Medium risk
Artificial Intelligence,507,26 of 40 seats remain,"Smith, John",Fall 2022,65,Fall,2022,Low Risk
Data Structures,507,35 of 50 seats remain,"Martinez, Jessica",Fall 2022,70,Fall,2022,Low Risk
Computer Architecture,509,19 of 30 seats remain,"Miller, James",Fall 2022,63.33333333,Fall,2022,Low Risk
Machine Learning,513,30 of 70 seats remain,"Miller, James",Fall 2022,42.85714286,Fall,2022,Medium risk
Algorithms,515,21 of 40 seats remain,"Garcia, Maria",Fall 2022,52.5,Fall,2022,Medium risk
Operating Systems,518,10 of 50 seats remain,"Martinez, Jessica",Fall 2022,20,Fall,2022,Very Risky
Computer Networks,522,18 of 20 seats remain,"Rodriguez, Michael",Fall 2022,90,Fall,2022,No Risk
Artificial Intelligence,525,27 of 60 seats remain,"Rodriguez, Michael",Fall 2022,45,Fall,2022,Medium risk
Artificial Intelligence,527,29 of 60 seats remain,"Martinez, Jessica",Fall 2022,48.33333333,Fall,2022,Medium risk
Software Engineering,529,28 of 50 seats remain,"Williams, David",Fall 2022,56,Fall,2022,Medium risk
Operating Systems,530,26 of 40 seats remain,"Smith, John",Fall 2022,65,Fall,2022,Low Risk
Intro to Programming,531,8 of 40 seats remain,"Williams, David",Fall 2022,20,Fall,2022,Very Risky
Data Structures,532,53 of 60 seats remain,"Garcia, Maria",Fall 2022,88.33333333,Fall,2022,No Risk
Artificial Intelligence,532,18 of 30 seats remain,"Johnson, Emily",Fall 2022,60,Fall,2022,Medium risk
Computer Networks,534,42 of 50 seats remain,"Smith, John",Fall 2022,84,Fall,2022,No Risk
Database Systems,540,2 of 40 seats remain,"Martinez, Jessica",Fall 2022,5,Fall,2022,Very Risky
Software Engineering,540,15 of 20 seats remain,"Garcia, Maria",Fall 2022,75,Fall,2022,Low Risk
Data Structures,540,7 of 30 seats remain,"Miller, James",Fall 2022,23.33333333,Fall,2022,Risky
Intro to Programming,540,26 of 50 seats remain,"Garcia, Maria",Fall 2022,52,Fall,2022,Medium risk
Data Structures,541,11 of 20 seats remain,"Jones, Robert",Fall 2022,55,Fall,2022,Medium risk
Software Engineering,541,51 of 70 seats remain,"Williams, David",Fall 2022,72.85714286,Fall,2022,Low Risk
Operating Systems,542,24 of 50 seats remain,"Martinez, Jessica",Fall 2022,48,Fall,2022,Medium risk
Operating Systems,542,54 of 70 seats remain,"Garcia, Maria",Fall 2022,77.14285714,Fall,2022,Low Risk
Machine Learning,545,0 of 20 seats remain,"Williams, David",Fall 2022,0,Fall,2022,Very Risky
Database Systems,546,2 of 20 seats remain,"Miller, James",Fall 2022,10,Fall,2022,Very Risky
Data Structures,551,17 of 20 seats remain,"Martinez, Jessica",Fall 2022,85,Fall,2022,No Risk
Artificial Intelligence,553,2 of 30 seats remain,"Garcia, Maria",Fall 2022,6.666666667,Fall,2022,Very Risky
Computer Networks,559,16 of 20 seats remain,"Garcia, Maria",Fall 2022,80,Fall,2022,Low Risk
Operating Systems,561,16 of 50 seats remain,"Rodriguez, Michael",Fall 2022,32,Fall,2022,Risky
Algorithms,564,52 of 60 seats remain,"Williams, David",Fall 2022,86.66666667,Fall,2022,No Risk
Machine Learning,565,6 of 40 seats remain,"Rodriguez, Michael",Fall 2022,15,Fall,2022,Very Risky
Software Engineering,566,14 of 20 seats remain,"Miller, James",Fall 2022,70,Fall,2022,Low Risk
Intro to Programming,567,51 of 70 seats remain,"Williams, David",Fall 2022,72.85714286,Fall,2022,Low Risk
Machine Learning,569,5 of 70 seats remain,"Garcia, Maria",Fall 2022,7.142857143,Fall,2022,Very Risky
Computer Architecture,569,28 of 60 seats remain,"Jones, Robert",Fall 2022,46.66666667,Fall,2022,Medium risk
Data Structures,571,31 of 40 seats remain,"Williams, David",Fall 2022,77.5,Fall,2022,Low Risk
Machine Learning,572,8 of 30 seats remain,"Williams, David",Fall 2022,26.66666667,Fall,2022,Risky
Computer Architecture,573,36 of 40 seats remain,"Martinez, Jessica",Fall 2022,90,Fall,2022,No Risk
Algorithms,574,4 of 20 seats remain,"Davis, Elizabeth",Fall 2022,20,Fall,2022,Very Risky
Computer Architecture,574,17 of 60 seats remain,"Davis, Elizabeth",Fall 2022,28.33333333,Fall,2022,Risky
Machine Learning,579,43 of 50 seats remain,"Jones, Robert",Fall 2022,86,Fall,2022,No Risk
Machine Learning,580,3 of 20 seats remain,"Martinez, Jessica",Fall 2022,15,Fall,2022,Very Risky
Theory/Application Data Mining,584,9 of 70 seats remain,"Zhou, Keren",Fall 2022,12.85714286,Fall,2022,Very Risky
Theory/Application Data Mining,584,48 of 70 seats remain,"Barbara, Daniel",Fall 2022,68.57142857,Fall,2022,Low Risk
Introduction to Cryptography,587,11 of 20 seats remain,"Ateniese, Giuseppe",Fall 2022,55,Fall,2022,Medium risk
Quantum Algorithms,595,FULL: 0 of 2 seats remain,"Baume, Michael",Fall 2022,0,Fall,2022,Very Risky
AI Design and Deployment Risks,595,8 of 15 seats remain,"Cummings, Missy",Fall 2022,53.33333333,Fall,2022,Medium risk
AI Design and Deployment Risks,595,11 of 15 seats remain,"Cummings, Missy",Fall 2022,73.33333333,Fall,2022,Low Risk
Theory of Computation,600,43 of 60 seats remain,"Richards, Dana",Fall 2022,71.66666667,Fall,2022,Low Risk
Theory of Computation,600,32 of 50 seats remain,"Richards, Dana",Fall 2022,64,Fall,2022,Low Risk
Advanced Algorithms,630,12 of 50 seats remain,"Yaroslavtsev, Grigory",Fall 2022,24,Fall,2022,Risky
Wireless and Mobile Computing,655,7 of 50 seats remain,"Yao, Shuochao",Fall 2022,14,Fall,2022,Very Risky
Computational Design,663,30 of 65 seats remain,"Yu, Lap Fai",Fall 2022,46.15384615,Fall,2022,Medium risk
Advanced NLP,678,8 of 65 seats remain,"Yao, Ziyu",Fall 2022,12.30769231,Fall,2022,Very Risky
Computer Vision,682,20 of 53 seats remain,"Kosecka, Jana",Fall 2022,37.73584906,Fall,2022,Risky
Machine Learning,688,19 of 50 seats remain,"Yu, Fang-Yi",Fall 2022,38,Fall,2022,Risky
Machine Learning,688,18 of 50 seats remain,"Das, Sanmay",Fall 2022,36,Fall,2022,Risky
Network Security,692,3 of 10 seats remain,"Wang, Xinyuan",Fall 2022,30,Fall,2022,Risky
Linux Kernel Internals,692,24 of 40 seats remain,"Zhang, Xiaokuan",Fall 2022,60,Fall,2022,Medium risk
SWE Real-Time Embedded Systm,692,7 of 35 seats remain,"Pettit, Rob",Fall 2022,20,Fall,2022,Very Risky
Advanced Computer Architecture,692,39 of 50 seats remain,"Yang, Lishan",Fall 2022,78,Fall,2022,Low Risk
SWE Real-Time Embedded Systm,692,10 of 32 seats remain,"Pettit, Rob",Fall 2022,31.25,Fall,2022,Risky
Advanced Machine Learning,782,39 of 44 seats remain,"Liu, Mingrui",Fall 2022,88.63636364,Fall,2022,No Risk
Advanced Machine Learning,782,31 of 44 seats remain,"Barbara, Daniel",Fall 2022,70.45454545,Fall,2022,Low Risk
Decision Guidance Systems,787,12 of 50 seats remain,"Brodsky, Alexander",Fall 2022,24,Fall,2022,Risky
Computer Science Colloquium,800,8 of 60 seats remain,"Aydin, Hakan",Fall 2022,13.33333333,Fall,2022,Very Risky
Data Structures,226,29 of 40 seats remain,"Davis, Elizabeth",Fall 2022,72.5,Fall,2022,Low Risk
Data Structures,332,44 of 50 seats remain,"Smith, John",Fall 2022,88,Fall,2022,No Risk
Artificial Intelligence,132,26 of 50 seats remain,"Martinez, Jessica",Fall 2022,52,Fall,2022,Medium risk
Operating Systems,207,28 of 50 seats remain,"Rodriguez, Michael",Fall 2022,56,Fall,2022,Medium risk
Data Structures,398,7 of 20 seats remain,"Garcia, Maria",Fall 2022,35,Fall,2022,Risky
Data Structures,253,35 of 50 seats remain,"Miller, James",Fall 2022,70,Fall,2022,Low Risk
Computer Architecture,480,11 of 40 seats remain,"Rodriguez, Michael",Fall 2022,27.5,Fall,2022,Risky
Software Engineering,489,16 of 20 seats remain,"Davis, Elizabeth",Fall 2022,80,Fall,2022,Low Risk
Data Structures,469,41 of 70 seats remain,"Miller, James",Fall 2022,58.57142857,Fall,2022,Medium risk
Database Systems,419,33 of 40 seats remain,"Miller, James",Fall 2022,82.5,Fall,2022,No Risk
Machine Learning,572,9 of 30 seats remain,"Williams, David",Fall 2022,30,Fall,2022,Risky
Data Structures,469,42 of 70 seats remain,"Miller, James",Fall 2022,60,Fall,2022,Medium risk
